keys,en,ru
HELP_GRANTS_,"On the Grants Tab you can take a grant, but you also should assign it to the faculty on the Faculty Tab. ",На вкладке гранты вы можете взять грант в работу. Однако вам надо его выбрать для конкретного факультета.
HELP_CHARACTERS_,On the Characters Tab you can hire or fire you characters using plus and cross.,На вкладке персонажи вы можете их нанять либо уволить используя плюс или крестик
HELP_START_,"This game is a university simulator. Hire characters, open faculties, take grants and achieve your goals. "," Эта игра – симулятор университета. Нанимайте персонажей, создавайте факультеты, выбирайте гранты и достигайте целей."
HELP_FACULTIES_,"Before accessing Faculty Tab you should build one of the available faculties by tapping on the green plus on the faculty map. Then assign a character as a leader, buy an equipment and increase your chance of breakthrough on the current grant\nOne step is a one game year. After hiring a characters, building faculties and taking grants you can start the simulation by pressing Start Year.","Перед тем, как вкладка факультеты будет вам доступна – вы должны построить факультет, щелкнув зеленый плюс на карте факультета. Назначайте руководителя, покупайте оборудование и увеличивайте свои шансы на прорыв по текущему гранту.\nОдин ход равен одному году. После того, как вы наняли нужных персонажей, настроили факультеты и гранты, вы можете начать игру. Для того, чтобы начать симуляцию – нажмите кнопку старт."
GENERIC_DESCRIPTION_1,GENERIC_DESCRIPTION_1,Начинающий ученый.
GENERIC_DESCRIPTION_2,GENERIC_DESCRIPTION_2,"Неопытный ученый, имеющий некоторые успехи."
GAME_OVER_DESC_,"Game over! You failed some critical research, required to complete goals, or have run out of possibilities.","Неудача! Вы провалили критические исследованиея для каждой из возможных целей, или у вас закончились возможности для развития."
ENGINEER_GOAL_DESCRIPTION,"By studying their achievements in physics and maths, we can build our own jump drive and join the galactic community. ","Изучив их достижения в физике и математике, мы сможем построить собственный прыжковый двигатель и присоединится к галактическому сообществу."
COMMUNICATION_GOAL_DESCRIPTION,"Having understood how their society works, and having learned to exchange information, we can hope for a peaceful and mutually beneficial coexistence.","Поняв, как устроено их мышление, и научившись обмениваться информацией, мы можем надеяться на мирное и взаимовыгодное сосуществование."
BIO_GOAL_DESCRIPTION,"An end to carbon chauvinism! Silicon life forms should be celebrated (or exploited?) - by understanding how silicon comes to life, we will enter a new era of the life sciences.","Конец углеродному шовинизму! Кремниевые формы жизни имеют десятки применений в быту и на производстве - поняв, как оживает кремень, мы откроем новую эпоху в науке о жизни."
UNDERSTANDING_GOAL_DESCRIPTION,"Did they answer the main question of philosophy? What shape, if any, take thier Gods? What axioms lay in the foundation of their science? Only by understanding the aliens can we learn to use their knowledge.",Ответили ли они на главный вопрос философии? Каков их Бог? На каких аксиомах строиться фундамент их науки? Только поняв пришельцев мы сможем научиться использовать их знания.
